Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Macao SAR,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.582,18.787,19.159,20.363,20.68,20.883,21.08,21.293,2017
Madagascar,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.175,16.333,18.658,19.455,19.908,20.014,20.137,20.031,2018
Malawi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.567,29.138,28.531,27.621,27.494,27.603,27.351,27.277,2018
Malaysia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.578,22.703,22.969,20.538,20.413,20.456,20.374,20.346,2018
Maldives,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.094,31,30.999,31.509,31.067,30.814,30.457,30.27,2018
Mali,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.906,20.188,25.063,22.818,22.798,23.275,23.487,23.645,2018
Malta,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.763,36.777,37.894,36.971,36.922,36.602,36.357,36.353,2018
Marshall Islands,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,65.53,62.833,69.491,70.15,70.233,70.411,70.608,70.059,2017
Mauritania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,28.132,27.093,26.449,27.056,26.996,27.018,27.314,27.314,2017
Mauritius,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.931,24.771,24.868,25.103,24.649,24.537,24.42,24.524,2018
Mexico,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.749,25.669,25.662,24.903,24.667,24.865,24.933,25.129,2018
Micronesia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,64.397,69.085,68.68,65.725,64.781,62.35,62.279,61.741,2018
Moldova,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.648,31.562,33.651,33.5,32.88,32.024,32.13,31.961,2018
Mongolia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.332,28.738,30.359,31.03,32.419,31.808,32.324,32.486,2018
Montenegro,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,47.196,47.689,45.652,41.922,39.993,39.709,39.552,39.494,2018
Morocco,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.05,29.761,29.935,29.615,29.401,29.62,29.698,29.905,2018
Mozambique,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,31.379,31.157,37.038,34.706,32.558,30.6,29.957,26.93,2018
Myanmar,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.887,20.377,20.619,21.159,21.399,21.665,21.907,22.143,2018
Namibia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.619,34.015,34.045,34.493,34.635,34.749,34.831,34.991,2019
